SMILES,CID,PreferredName,IUPACName,PrimarySynonym,Synonyms
C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl,43231,"4-amino-6-(1,2,2-trichloroethenyl)benzene-1,3-disulfonamide","4-amino-6-(1,2,2-trichloroethenyl)benzene-1,3-disulfonamide",CLORSULON,"CLORSULON; 60200-06-8; Curatrem; Clorsulone; Clorsulonum; 1,3-Benzenedisulfonamide, 4-amino-6-(trichloroethenyl)-; 4-amino-6-(1,2,2-trichloroethenyl)benzene-1,3-disulfonamide; MK-401; Clorsuron; 4-Amino-6-(trichloroethenyl)-1,3-benzenedisulfonamide"
C1=C(OC(=C1)[N+](=O)[O-])/C=C/C2=NOC(=N2)N,5284340,"3-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,2,4-oxadiazol-5-amine","3-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,2,4-oxadiazol-5-amine",28754-68-9,"28754-68-9; 5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole; SQ18506; SQ 18506; B5J6S26XCE; 1,2,4-Oxadiazol-5-amine, 3-(2-(5-nitro-2-furanyl)ethenyl)-, (E)-; S-18506; SQ 18 506; RefChem:933280; S18506"
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,3037,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol,Dichlorophen,Dichlorophen; dichlorophene; 97-23-4; Didroxane; Anthiphen; Parabis; Dicestal; Dichlorofen; Dichlorphen; Trivex
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,3037,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol,Dichlorophen,Dichlorophen; dichlorophene; 97-23-4; Didroxane; Anthiphen; Parabis; Dicestal; Dichlorofen; Dichlorphen; Trivex
CC1=C(C(=C(C(=C1OC)C(=O)C(C)C)O)CC2=C(C(=C(C(=C2O)C)OC)C(=O)C(C)C)O)O,160529,"1-[3-[[2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]-2-methylpropan-1-one","1-[3-[[2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]-2-methylpropan-1-one",alpha-Kosin,"alpha-Kosin; 568-50-3; 1-[3-[[2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]-2-methylpropan-1-one; DTXSID70205348; 1-(3-((2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl)methyl)-2,4-dihydroxy-6-methoxy-5-methyl-phenyl)-2-methyl-propan-1-one; 1-(3-((2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl)methyl)-2,4-dihydroxy-6-methoxy-5-methylphenyl)-2-methylpropan-1-one; 1-[3-[[2,6-dihydroxy-4-methoxy-3-methyl-5-(2-methylpropanoyl)phenyl]methyl]-2,4-dihydroxy-6-methoxy-5-methyl-phenyl]-2-methyl-propan-1-one; RefChem:111273; DTXCID70127839; C10704"
C1=CC=C2C=C(C=CC2=C1)O,8663,naphthalen-2-ol,naphthalen-2-ol,2-NAPHTHOL,2-NAPHTHOL; naphthalen-2-ol; 135-19-3; 2-Naphthalenol; beta-naphthol; Betanaphthol; 2-Hydroxynaphthalene; Isonaphthol; Developer A; Developer BN
CC(=CCC/C(=C/CO)/C)C,637566,"(2E)-3,7-dimethylocta-2,6-dien-1-ol","(2E)-3,7-dimethylocta-2,6-dien-1-ol",GERANIOL,"GERANIOL; 106-24-1; Geranyl alcohol; Lemonol; trans-Geraniol; (E)-3,7-Dimethylocta-2,6-dien-1-ol; (E)-Geraniol; (2E)-3,7-dimethylocta-2,6-dien-1-ol; (E)-Nerol; Geraniol alcohol"
CCCC(=O)C1=C(C(=C(C=C1O)OC)C)O,122841,"1-(2,6-dihydroxy-4-methoxy-3-methylphenyl)butan-1-one","1-(2,6-dihydroxy-4-methoxy-3-methylphenyl)butan-1-one",Aspidinol,"Aspidinol; Aspidinol B; 519-40-4; aspidinol-B; UNII-6BW75I6CNC; 2',6'-Dihydroxy-4'-methoxy-3'-methylbutyrophenone; 6BW75I6CNC; ASPIDINOL [MI]; 1-(2,6-Dihydroxy-4-methoxy-3-methylphenyl)-1-butanone; Butyrophenone, 2',6'-dihydroxy-4'-methoxy-3'-methyl-"
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,42574,"N-[5-chloro-4-[(4-chlorophenyl)-cyanomethyl]-2-methylphenyl]-2-hydroxy-3,5-diiodobenzamide","N-[5-chloro-4-[(4-chlorophenyl)-cyanomethyl]-2-methylphenyl]-2-hydroxy-3,5-diiodobenzamide",Closantel,"Closantel; 57808-65-8; Closantelum; DTXSID6040662; R 31,520; NSC-335306; EUL532EI54; R-31520; Benzamide, N-(5-chloro-4-((4-chlorophenyl)cyanomethyl)-2-methylphenyl)-2-hydroxy-3,5-diiodo-; NSC335306"
CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl,42574,"N-[5-chloro-4-[(4-chlorophenyl)-cyanomethyl]-2-methylphenyl]-2-hydroxy-3,5-diiodobenzamide","N-[5-chloro-4-[(4-chlorophenyl)-cyanomethyl]-2-methylphenyl]-2-hydroxy-3,5-diiodobenzamide",Closantel,"Closantel; 57808-65-8; Closantelum; DTXSID6040662; R 31,520; NSC-335306; EUL532EI54; R-31520; Benzamide, N-(5-chloro-4-((4-chlorophenyl)cyanomethyl)-2-methylphenyl)-2-hydroxy-3,5-diiodo-; NSC335306"
CCCC(=O)C1=C(O)C(C)(C)C(O)=C(Cc2c(OC)cc(O)c(C(=O)CCC)c2O)C1=O,8238,"2-butanoyl-4-[(3-butanoyl-2,4-dihydroxy-6-methoxyphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one","2-butanoyl-4-[(3-butanoyl-2,4-dihydroxy-6-methoxyphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one",60842-45-7,"60842-45-7; DTXSID00976317; 2-butanoyl-4-[(3-butanoyl-2,4-dihydroxy-6-methoxyphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one; 2-Butanoyl-4-((3-butanoyl-2,4-dihydroxy-6-methoxyphenyl)methyl)-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one; RefChem:1062537; DTXCID001403695; Desaspidin; Desaspidin BB; Rosapin; Desaspidin [INN]"
CC(=O)Oc1ccc([N+](=O)[O-])c(OC(C)=O)c1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,219070,"[3-acetyloxy-2-[[3,5-bis(trifluoromethyl)phenyl]carbamoyl]-4-nitrophenyl] acetate","[3-acetyloxy-2-[[3,5-bis(trifluoromethyl)phenyl]carbamoyl]-4-nitrophenyl] acetate",Flurantel,"Flurantel; 30533-89-2; Flurantel [INN]; UNII-3Q14SL1C0O; 3Q14SL1C0O; DTXSID10184608; 2,6-Dihydroxy-3-nitro-3',5'-bis(trifluoromethyl)benzanilide diacetate (ester); flurantelum; RefChem:141039; DTXCID10107099"
CC(=O)OC1=C(C(=C(C=C1)[N+](=O)[O-])OC(=O)C)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,219070,"[3-acetyloxy-2-[[3,5-bis(trifluoromethyl)phenyl]carbamoyl]-4-nitrophenyl] acetate","[3-acetyloxy-2-[[3,5-bis(trifluoromethyl)phenyl]carbamoyl]-4-nitrophenyl] acetate",Flurantel,"Flurantel; 30533-89-2; Flurantel [INN]; UNII-3Q14SL1C0O; 3Q14SL1C0O; DTXSID10184608; 2,6-Dihydroxy-3-nitro-3',5'-bis(trifluoromethyl)benzanilide diacetate (ester); flurantelum; RefChem:141039; DTXCID10107099"
C1=CC=C2C(=C1)C=CC(=C2Br)O,11316,1-bromonaphthalen-2-ol,1-bromonaphthalen-2-ol,1-Bromo-2-naphthol,"1-Bromo-2-naphthol; 573-97-7; 2-Naphthalenol, 1-bromo-; 1-Bromo-2-naphthalenol; Wormin; Disthemin; 1-Brom-2-naphthol; 1-Bromo-2-hydroxynaphthalene; 2-NAPHTHOL, 1-BROMO-; 1-Brom-2-naphthol [German]"
CC(=O)NC1=CC=C(C=C1)OCCOCCOC2=CC=C(C=C2)NC(=O)C,37384,N-[4-[2-[2-(4-acetamidophenoxy)ethoxy]ethoxy]phenyl]acetamide,N-[4-[2-[2-(4-acetamidophenoxy)ethoxy]ethoxy]phenyl]acetamide,Diamfenetide,"Diamfenetide; 36141-82-9; Diamphenethide; Diamfenetida; Compound 68-198; Diamfenetidum; U4TFJ7GB6T; beta,beta'-Oxybis(p-acetophenetidide); COMPOUND-68-198; NSC-291838"
COCC(=O)Nc1cc(Sc2ccccc2)ccc1N=C(NC(=O)OC)NC(=O)OC,135449328,methyl N-[N'-[2-[(2-methoxyacetyl)amino]-4-phenylsulfanylphenyl]-N-methoxycarbonylcarbamimidoyl]carbamate,methyl N-[N'-[2-[(2-methoxyacetyl)amino]-4-phenylsulfanylphenyl]-N-methoxycarbonylcarbamimidoyl]carbamate,Febantel,Febantel; 58306-30-2; Rintal; Combotel; Oratel; Negabot Plus Paste; Bay Vh 5757; Febantelum; DTXSID6046898; BAY-VH-5757
CC1=CC(=C(C=C1Br)C(C)C)O,203726,4-bromo-5-methyl-2-propan-2-ylphenol,4-bromo-5-methyl-2-propan-2-ylphenol,Vermella,"Vermella; 6-Bromothymol; Bromothymol; Killvermyl; 4-Bromothymol; Phenol, 4-bromo-5-methyl-2-(1-methylethyl)-; 4-Bromthymol; 4-Bromthymol [German]; Thymol, 6-bromo-; 4-Brom-2-isopropyl-5-methylphenol"
CCCCOC(=O)/C=C/C1=CC=CC=C1,5273465,butyl (E)-3-phenylprop-2-enoate,butyl (E)-3-phenylprop-2-enoate,BUTYL CINNAMATE,"BUTYL CINNAMATE; n-Butyl cinnamate; Eliminoxy; butyl (E)-3-phenylprop-2-enoate; Cinnamic acid, butyl ester; n-Butyl phenylacrylate; Cinnamic acid n-butyl ester; Butyl 3-phenyl-2-propenoate; Butyl phenylacrylate; Cinnamate de n-butyle"
CN1CCCN=C1/C=C/c1cccc(O)c1,5281087,"3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol","3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol",OXANTEL,"OXANTEL; 36531-26-7; Oxantelum; 3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol; 94AJJ30D9E; DTXSID601016597; CP-14,445; (E)-m-(2-(1,4,5,6-Tetrahydro-1-methyl-2-pyrimidinyl)vinyl)phenol; 3-((E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl)phenol; RefChem:168828"
CN1CCCN=C1/C=C/C2=CC(=CC=C2)O,5281087,"3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol","3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol",OXANTEL,"OXANTEL; 36531-26-7; Oxantelum; 3-[(E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl]phenol; 94AJJ30D9E; DTXSID601016597; CP-14,445; (E)-m-(2-(1,4,5,6-Tetrahydro-1-methyl-2-pyrimidinyl)vinyl)phenol; 3-((E)-2-(1-methyl-5,6-dihydro-4H-pyrimidin-2-yl)ethenyl)phenol; RefChem:168828"
CC1=C(C=C(C=C1)C(C)C)O,10364,2-methyl-5-propan-2-ylphenol,2-methyl-5-propan-2-ylphenol,CARVACROL,CARVACROL; 5-Isopropyl-2-methylphenol; 499-75-2; Isopropyl-o-cresol; Antioxine; 2-p-Cymenol; 5-Isopropyl-o-cresol; 2-Hydroxy-p-cymene; Karvakrol; p-Cymen-2-ol
O=C(Nc1ccc(Br)cc1)c1c(O)cccc1O,65696,"N-(4-bromophenyl)-2,6-dihydroxybenzamide","N-(4-bromophenyl)-2,6-dihydroxybenzamide",Resorantel,Resorantel; 20788-07-2; Resorantelum; Hoe 296 V; HOE-296 V; HOE-296-V; 2I8V5Q9A78; DTXSID80174879; RefChem:178936; DTXCID0097370
C1=CC(=C(C(=C1)O)C(=O)NC2=CC=C(C=C2)Br)O,65696,"N-(4-bromophenyl)-2,6-dihydroxybenzamide","N-(4-bromophenyl)-2,6-dihydroxybenzamide",Resorantel,Resorantel; 20788-07-2; Resorantelum; Hoe 296 V; HOE-296 V; HOE-296-V; 2I8V5Q9A78; DTXSID80174879; RefChem:178936; DTXCID0097370
C1=CC(=CC=C1NC2=CC=C(C=C2)[N+](=O)[O-])N=C=S,33488,4-isothiocyanato-N-(4-nitrophenyl)aniline,4-isothiocyanato-N-(4-nitrophenyl)aniline,Amoscanate,Amoscanate; 26328-53-0; Nithiocyamine; Amoscanato; Amoscanatum; 4-isothiocyanato-N-(4-nitrophenyl)aniline; p-(p-Nitroanilino)phenyl isothiocyanate; Ciba 9333 GO; 4-Isothiocyanato-4'-nitrodiphenylamine; CCRIS 4111
Cc1c([N+](=O)[O-])cc(C(C)(C)C)c(O)c1C(=O)Nc1ccc(Br)cc1C(F)(F)F,166570,N-[4-bromo-2-(trifluoromethyl)phenyl]-3-tert-butyl-2-hydroxy-6-methyl-5-nitrobenzamide,N-[4-bromo-2-(trifluoromethyl)phenyl]-3-tert-butyl-2-hydroxy-6-methyl-5-nitrobenzamide,Bromoxanide,"Bromoxanide; 41113-86-4; Bromoxanida; sk&f 61636; N-[4-bromo-2-(trifluoromethyl)phenyl]-3-tert-butyl-2-hydroxy-6-methyl-5-nitrobenzamide; 9MM438AA0G; SK&F-61636; Bromoxanidum; Benzamide, N-(4-bromo-2-(trifluoromethyl)phenyl)-3-(1,1-dimethylethyl)-2-hydroxy-6-methyl-5-nitro-; Bromoxanide [USAN:INN]"
CCCC(=O)C1=C(C(=C(C(C1=O)(C)C)O)CC2=C(C(=C(C(=C2O)C)OC)C(=O)CCC)O)O,120290,"2-butanoyl-4-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one","2-butanoyl-4-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one",Aspidin BB,"Aspidin BB; Aspidin; 584-28-1; Aspidin VV; BRN 2068604; N21SD2R570; 2-butanoyl-4-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one; UNII-N21SD2R570; CCRIS 8458; ASPIDIN [MI]"
CCCCCCCCCCCCCCCCCCN(C)C,15365,"N,N-dimethyloctadecan-1-amine","N,N-dimethyloctadecan-1-amine",124-28-7,"124-28-7; Dymanthine; N,N-Dimethyloctadecylamine; N,N-Dimethyl-n-octadecylamine; Dimethyloctadecylamine; N,N-Dimethyl-1-octadecanamine; Octadecyldimethylamine; 1-Octadecanamine, N,N-dimethyl-; Stearyldimethylamine; Octadecylamine, N,N-dimethyl-"
CCCCCCCCCCCCCCCCCCN(C)C.Cl,519218,"N,N-dimethyloctadecan-1-amine;hydrochloride","N,N-dimethyloctadecan-1-amine;hydrochloride","N,N-Dimethyloctadecylamine hydrochloride","N,N-Dimethyloctadecylamine hydrochloride; Dymanthine hydrochloride; Dymanthine HCl; 1613-17-8; GS-1339; NSC-5547; JAD662Q3U7; DTXSID2049680; Octadecyldimethylammonium chloride; RefChem:136035"
CCCCCCCCCCCCCCCCCCN(C)C,15365,"N,N-dimethyloctadecan-1-amine","N,N-dimethyloctadecan-1-amine",124-28-7,"124-28-7; Dymanthine; N,N-Dimethyloctadecylamine; N,N-Dimethyl-n-octadecylamine; Dimethyloctadecylamine; N,N-Dimethyl-1-octadecanamine; Octadecyldimethylamine; 1-Octadecanamine, N,N-dimethyl-; Stearyldimethylamine; Octadecylamine, N,N-dimethyl-"
COC(=O)NC1=NC2=CC=CC=C2N1,25429,methyl N-(1H-benzimidazol-2-yl)carbamate,methyl N-(1H-benzimidazol-2-yl)carbamate,Carbendazim,Carbendazim; 10605-21-7; Carbendazole; Mecarzole; Bavistin; Thicoper; Carbendazime; Derosal; Bavistan; Carbendazol
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,40854,methyl N-[6-(benzenesulfinyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(benzenesulfinyl)-1H-benzimidazol-2-yl]carbamate,Oxfendazole,Oxfendazole; 53716-50-0; Fenbendazole sulfoxide; Synanthic; OFDZ; Oxfendazol; Oxfendazolum; fenbendazole S-oxide; RS-8858; 5-Phenylsulfinyl-2-carbomethoxyaminobenzimidazole
C1=CC(=C(C(=C1)Cl)CN2C=NC3=C(N=CN=C32)N)F,41574,9-[(2-chloro-6-fluorophenyl)methyl]purin-6-amine,9-[(2-chloro-6-fluorophenyl)methyl]purin-6-amine,Arprinocid,Arprinocid; 55779-18-5; Arpocox; Arprinocida; Arprinocidum; 9-(2-Chloro-6-fluorobenzyl)adenine; 6A0XTA8ZUH; MK-302; DTXSID3057773; DTXCID4031562
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,4891,"2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one","2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one",praziquantel,"praziquantel; 55268-74-1; Biltricide; Droncit; Embay 8440; Praziquantelum; Cysticide; prazicuantel; 2-(cyclohexylcarbonyl)-1,2,3,6,7,11b-hexahydro-4H-pyrazino[2,1-a]isoquinolin-4-one; EMBAY-8440"
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,4891,"2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one","2-(cyclohexanecarbonyl)-3,6,7,11b-tetrahydro-1H-pyrazino[2,1-a]isoquinolin-4-one",praziquantel,"praziquantel; 55268-74-1; Biltricide; Droncit; Embay 8440; Praziquantelum; Cysticide; prazicuantel; 2-(cyclohexylcarbonyl)-1,2,3,6,7,11b-hexahydro-4H-pyrazino[2,1-a]isoquinolin-4-one; EMBAY-8440"
CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,15432,"N,N-diethyl-4-methylpiperazine-1-carboxamide;2-hydroxypropane-1,2,3-tricarboxylic acid","N,N-diethyl-4-methylpiperazine-1-carboxamide;2-hydroxypropane-1,2,3-tricarboxylic acid",DIETHYLCARBAMAZINE CITRATE,DIETHYLCARBAMAZINE CITRATE; 1642-54-2; Loxuran; Dicarocide; Banocide; Caritrol; Filazine; Franocide; Franozan; Carbam Palatabs
CCN(CC)C(=O)N1CCN(C)CC1,3052,"N,N-diethyl-4-methylpiperazine-1-carboxamide","N,N-diethyl-4-methylpiperazine-1-carboxamide",diethylcarbamazine,"diethylcarbamazine; 90-89-1; Carbamazine; N,N-Diethyl-4-methyl-1-piperazinecarboxamide; 1-Piperazinecarboxamide, N,N-diethyl-4-methyl-; Dietilcarbamazina; Diaethylcarbamazinum; Camin; Diethylcarbamazinum; V867Q8X3ZD"
CCN(CC)C(=O)N1CCN(CC1)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,15432,"N,N-diethyl-4-methylpiperazine-1-carboxamide;2-hydroxypropane-1,2,3-tricarboxylic acid","N,N-diethyl-4-methylpiperazine-1-carboxamide;2-hydroxypropane-1,2,3-tricarboxylic acid",DIETHYLCARBAMAZINE CITRATE,DIETHYLCARBAMAZINE CITRATE; 1642-54-2; Loxuran; Dicarocide; Banocide; Caritrol; Filazine; Franocide; Franozan; Carbam Palatabs
O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,72026,"2-(cyclohexanecarbonyl)-1,3,6,7,8,12b-hexahydropyrazino[2,1-a][2]benzazepin-4-one","2-(cyclohexanecarbonyl)-1,3,6,7,8,12b-hexahydropyrazino[2,1-a][2]benzazepin-4-one",Epsiprantel,"Epsiprantel; 98123-83-2; Cestex; Epsiprantelum; 0C1SPQ0FSR; DTXSID3057858; BRL38705; BRL-38705; DTXCID0031392; Pyrazino[2,1-a][2]benzazepin-4(1H)-one, 2-(cyclohexylcarbonyl)-2,3,6,7,8,12b-hexahydro-"
