"set_label","RDKit_ID","CID","PreferredName","IUPACName","PrimarySynonym","Synonyms","SMILES","source"
"Inactive","RDKit_inactive_113",114829,"(2S)-7-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","(2S)-7-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","Liquiritigenin","Liquiritigenin; 578-86-9; (2S)-liquiritigenin; 7,4'-Dihydroxyflavanone; (-)-liquiritigenin; (2S)-7-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one; T194LKP9W6; CHEBI:28777; DTXSID90206493; (2S)-7-Hydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-1-benzopyran-4-one","C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O","Non_anthelmintic"
"Inactive","RDKit_inactive_50",5311017,"(2S)-N-benzyl-N-methyl-1-phenylpropan-2-amine","(2S)-N-benzyl-N-methyl-1-phenylpropan-2-amine","benzphetamine","benzphetamine; (+)-benzphetamine; Benzfetamina; (S)-benzphetamine; benzaphetamine; Benzfetaminum; (S)-(+)-benzphetamine; 156-08-1; N-Benzylmethamphetamin; D-N-Methyl-N-benzyl-beta-phenylisopropylamine","C[C@@H](CC1=CC=CC=C1)N(C)CC2=CC=CC=C2","Non_anthelmintic"
"Inactive","RDKit_inactive_19",66550890,"(2S,3R)-N'-[(3S)-1-methyl-2-oxo-5-phenyl-3H-1,4-benzodiazepin-3-yl]-2,3-bis(3,3,3-trifluoropropyl)butanediamide","(2S,3R)-N'-[(3S)-1-methyl-2-oxo-5-phenyl-3H-1,4-benzodiazepin-3-yl]-2,3-bis(3,3,3-trifluoropropyl)butanediamide","BMS-906024","BMS-906024; 1401066-79-2; Osugacestat; BMS 906024; AL101; DRL23N424R; AL-101; BM0018; BM-0018; DTXSID30161234","CN1C2=CC=CC=C2C(=N[C@@H](C1=O)NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(=O)N)C3=CC=CC=C3","Non_anthelmintic"
"Inactive","RDKit_inactive_57",188927,"(2S,3S)-2-benzhydryl-N-[(2-methoxy-5-propan-2-ylphenyl)methyl]-1-azabicyclo[2.2.2]octan-3-amine","(2S,3S)-2-benzhydryl-N-[(2-methoxy-5-propan-2-ylphenyl)methyl]-1-azabicyclo[2.2.2]octan-3-amine","Ezlopitant","Ezlopitant; 147116-64-1; CJ-11974; 3L098A8MPY; CJ-11,974; CJ-11, 974; DTXSID601318557; 1-Azabicyclo(2.2.2)octan-3-amine, 2-(diphenylmethyl)-N-((2-methoxy-5-(1-methylethyl)phenyl)methyl)-, (2S-cis)-; (2S,3S)-2-(Diphenylmethyl)-3-((5-isopropyl-2-methoxybenzyl)amino)quinuclidine; (2S,3S,4S)-2-diphenylmethyl-3-(5-isopropyl-2-methoxybenzylamino)-1-azabicyclo(2.2.2)octane","CC(C)C1=CC(=C(C=C1)OC)CN[C@@H]2[C@@H](N3CCC2CC3)C(C4=CC=CC=C4)C5=CC=CC=C5","Non_anthelmintic"
"Inactive","RDKit_inactive_84",54841,"(3R)-N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine","(3R)-N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine","Atomoxetine","Atomoxetine; 83015-26-3; Tomoxetine; (-)-Tomoxetine; Tomoxetina; Tomoxetinum; Tomoxetinum [Latin]; Atomoxetina; ASW034S0B8; methyl[(3R)-3-(2-methylphenoxy)-3-phenylpropyl]amine","CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2","Non_anthelmintic"
"Inactive","RDKit_inactive_62",91270,"(3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-6,7-dimethoxy-3,4-dihydro-1H-isoquinoline-3-carboxylic acid","(3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-6,7-dimethoxy-3,4-dihydro-1H-isoquinoline-3-carboxylic acid","MOEXIPRIL","MOEXIPRIL; 103775-10-6; Moexiprilum; (3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-6,7-dimethoxy-3,4-dihydro-1H-isoquinoline-3-carboxylic acid; WT87C52TJZ; RS-10085; DTXSID9023330; (3S)-2-((2S)-N-((1S)-1-Carboxy-3-phenylpropyl)alanyl)-1,2,3,4-tetrahydro-6,7-dimethoxy-3-isoquinolinecarboxylic acid, 2-ethyl ester; (3S)-2-[(2S)-2-{[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino}propanoyl]-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid; Moex","CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC(=C(C=C3C[C@H]2C(=O)O)OC)OC","Non_anthelmintic"
"Inactive","RDKit_inactive_29",3058751,"(3S)-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine","(3S)-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine","(S)-Norfluoxetine","(S)-Norfluoxetine; 126924-38-7; SEPROXETINE; Seproxetine [INN]; Norfluoxetine, (s)-; seproxetina; UNII-25CO3X0R31; 25CO3X0R31; SEPROXETINE [WHO-DD]; DTXSID001019529","C1=CC=C(C=C1)[C@H](CCN)OC2=CC=C(C=C2)C(F)(F)F","Non_anthelmintic"
"Inactive","RDKit_inactive_9",442021,"(4aR,5aS,8aR,13aS,15aS,15bR)-10,11-dimethoxy-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one","(4aR,5aS,8aR,13aS,15aS,15bR)-10,11-dimethoxy-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one","BRUCINE","BRUCINE; 357-57-3; 10,11-Dimethoxystrychnine; Brucinum; (-)-Brucine; 2,3-Dimethoxystrychnine; 2,3-Dimethoxystrychnidin-10-one; Bruzin; l-Brucine; Brucine alkaloid","COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC","Non_anthelmintic"
"Inactive","RDKit_inactive_51",47811,"(6aR,9R,10aR)-9-(methylsulfanylmethyl)-7-propyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline","(6aR,9R,10aR)-9-(methylsulfanylmethyl)-7-propyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline","pergolide","pergolide; Pergolida; Pergolidum; 66104-22-1; 24MJ822NZ9; DTXSID2023438; CHEBI:63617; Parkotil; Ergoline, 8-((methylthio)methyl)-6-propyl-, (8beta)-; (2R,4R,7R)-4-[(methylsulfanyl)methyl]-6-propyl-6,11-diazatetracyclo[7.6.1.0^{2,7}.0^{12,16}]hexadeca-1(16),9,12,14-tetraene","CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC","Non_anthelmintic"
"Inactive","RDKit_inactive_79",3647,"1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide","1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide","hydroflumethiazide","hydroflumethiazide; 135-09-1; Diuredemina; Diucardin; Glomerulin; Saluron; Hidroflumetiazid; Hydroflumethizide; Diurometon; Flutizide","C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1","Non_anthelmintic"
"Inactive","RDKit_inactive_40",2134,"1,4-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione","1,4-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione","Ametantrone","Ametantrone; 64862-96-0; Ametantrona; NSC-196473; Ametantronum; NSC 196473; 1,4-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione; PNT6041ST1; NSC196473; DTXSID60215153","C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO","Non_anthelmintic"
"Inactive","RDKit_inactive_41",6040,"1-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)piperidine","1-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)piperidine","Piperoxan","Piperoxan; 59-39-2; Piperoxane; Benodaine; Piperoxano; 933F; Fourneau-933; Piperoxanum; (rs)-piperoxane; DTXSID1046269","C1CCN(CC1)CC2COC3=CC=CC=C3O2","Non_anthelmintic"
"Inactive","RDKit_inactive_75",65853,"1-(2,3-dihydro-1,4-benzodioxin-5-yl)piperazine","1-(2,3-dihydro-1,4-benzodioxin-5-yl)piperazine","Eltoprazine","Eltoprazine; 98224-03-4; Eltoprazina; 1-(2,3-dihydro-1,4-benzodioxin-5-yl)piperazine; Eltoprazinum; DU-28853; 510M006KO6; DTXSID5048425; RefChem:136558; DTXCID3028398","C1CN(CCN1)C2=C3C(=CC=C2)OCCO3","Non_anthelmintic"
"Inactive","RDKit_inactive_56",135497698,"1-(3-chlorophenyl)-3-(1-methyl-4-oxoimidazolidin-2-ylidene)urea","1-(3-chlorophenyl)-3-(1-methyl-4-oxoimidazolidin-2-ylidene)urea","Fenobam","Fenobam; 57653-26-6; fenobam anhydrous; 3-(3-chlorophenyl)-1-(1-methyl-4-oxo-5H-imidazol-2-yl)urea; NPL2009; 078RCY7I27; NPL-2009; 1-(3-chlorophenyl)-3-(1-methyl-4-oxo-4,5-dihydro-1H-imidazol-2-yl)urea; Urea, N-(3-chlorophenyl)-N'-(4,5-dihydro-1-methyl-4-oxo-1H-imidazol-2-yl)-; RefChem:598884","CN\1CC(=O)N/C1=N\C(=O)NC2=CC(=CC=C2)Cl","Non_anthelmintic"
"Inactive","RDKit_inactive_28",26937,"1-(4-chlorophenyl)-4-(dimethylamino)-2,3-dimethylbutan-2-ol","1-(4-chlorophenyl)-4-(dimethylamino)-2,3-dimethylbutan-2-ol","Clobutinol","Clobutinol; 14860-49-2; Clobutinolum; Iversal; 1-(4-chlorophenyl)-4-(dimethylamino)-2,3-dimethylbutan-2-ol; KAT 256 FREE BASE; KAT-256 FREE BASE; 1NY2IX043A; R05DB03; DTXSID2022838","CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O","Non_anthelmintic"
"Inactive","RDKit_inactive_24",29137,"1-[(3,4,5-trimethoxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline-6,7-diol;hydrochloride","1-[(3,4,5-trimethoxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline-6,7-diol;hydrochloride","6,7-ISOQUINOLINEDIOL, 1,2,3,4-TETRAHYDRO-1-((3,4,5-TRIMETHOXYPHENYL)METHYL)-, HYDROCHLORIDE (1:1)","6,7-ISOQUINOLINEDIOL, 1,2,3,4-TETRAHYDRO-1-((3,4,5-TRIMETHOXYPHENYL)METHYL)-, HYDROCHLORIDE (1:1); RefChem:1073614; 18559-63-2; Trimetoquinol; Inolin; (+/-)-TRIMETOQUINOL HYDROCHLORIDE; Trimetoquinol-hydrochloride; AQL 208; Trikvinol (triquinol) hydrochloride; 1-[(3,4,5-trimethoxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline-6,7-diol;hydrochloride","COC1=CC(=CC(=C1OC)OC)CC2C3=CC(=C(C=C3CCN2)O)O.Cl","Non_anthelmintic"
"Inactive","RDKit_inactive_67",123618,"1-[(4-fluorophenyl)methyl]-N-piperidin-4-ylbenzimidazol-2-amine","1-[(4-fluorophenyl)methyl]-N-piperidin-4-ylbenzimidazol-2-amine","Tecastemizole","Tecastemizole; Norastemizole; 75970-99-9; Tecastemizol; W5DCO14M05; R-43512; 1-((4-Flurophenyl)methyl)-N-4-piperidinyl-1H-benzimidazol-2-amine; DTXSID30226877; tecastemizolum; RefChem:891272","C1CNCCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F","Non_anthelmintic"
"Inactive","RDKit_inactive_65",26035,"1-[10-[2-(dimethylamino)propyl]phenothiazin-2-yl]ethanone","1-[10-[2-(dimethylamino)propyl]phenothiazin-2-yl]ethanone","Aceprometazine","Aceprometazine; Acepromethazine; 13461-01-3; Aceprometazina; Aceprometazinum; 10-(2-(Dimethylamino)propyl)phenothiazin-2-yl methyl ketone; CB 1664; 984N9YTM4Y; CB-1664; CHEBI:53770","CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(=O)C)N(C)C","Non_anthelmintic"
"Inactive","RDKit_inactive_32",4940,"1-[10-[2-(dimethylamino)propyl]phenothiazin-2-yl]propan-1-one","1-[10-[2-(dimethylamino)propyl]phenothiazin-2-yl]propan-1-one","propiomazine","propiomazine; 362-29-8; Propionylpromethazine; Phenoctyl; Propiomazina; Propiomazinum; Wy-1359; CB 1678; 2-Propionyl-10-(2-(dimethylamino)propyl)phenothiazine; 3-Propionyl-10-dimethylaminoisopropylphenothiazine","CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C","Non_anthelmintic"
"Inactive","RDKit_inactive_18",9907323,"1-[2-(3,4-dimethoxyphenyl)ethyl]-4-(3-phenylpropyl)piperazine","1-[2-(3,4-dimethoxyphenyl)ethyl]-4-(3-phenylpropyl)piperazine","Cutamesine","Cutamesine; 165377-43-5; 1-[2-(3,4-dimethoxyphenyl)ethyl]-4-(3-phenylpropyl)piperazine; 9J7A4144BX; DTXSID50167935; 1-(2-(3,4-DIMETHOXYPHENYL)ETHYL)-4-(3-PHENYLPROPYL)PIPERAZINE; cutamesina; cutamesinum; RefChem:128968; DTXCID9090426","COC1=C(C=C(C=C1)CCN2CCN(CC2)CCCC3=CC=CC=C3)OC","Non_anthelmintic"
"Inactive","RDKit_inactive_31",5059,"1-[3-(quinolin-2-ylmethoxy)phenyl]hexan-1-ol","1-[3-(quinolin-2-ylmethoxy)phenyl]hexan-1-ol","101910-24-1","101910-24-1; REV-5901; alpha-Pentyl-3-(2-quinolinylmethoxy)benzenemethanol; PF-5901; Benzenemethanol, alpha-pentyl-3-(2-quinolinylmethoxy)-; RG-5901; WNW5RYD8MG; RefChem:555905; Rev 5901; 1-[3-(quinolin-2-ylmethoxy)phenyl]hexan-1-ol","CCCCCC(C1=CC(=CC=C1)OCC2=NC3=CC=CC=C3C=C2)O","Non_anthelmintic"
"Inactive","RDKit_inactive_10",76765,"1-[4-(2,5-dioxopyrrol-1-yl)phenyl]pyrrole-2,5-dione","1-[4-(2,5-dioxopyrrol-1-yl)phenyl]pyrrole-2,5-dione","3278-31-7","3278-31-7; N,N'-1,4-Phenylenedimaleimide; N,N'-4-Phenylenedimaleimide; BEC7P1E6J1; 1,4-phenylenebismaleimide; NSC-81257; DTXSID70186446; (MalN)2Ph; RefChem:821710; p-N,N'-phenylenebismaleimide","C1=CC(=CC=C1N2C(=O)C=CC2=O)N3C(=O)C=CC3=O","Non_anthelmintic"
"Inactive","RDKit_inactive_7",5310960,"1-[4-(furan-2-yl)-11-propyl-3,5,6,8,10,11-hexazatricyclo[7.3.0.02,6]dodeca-1(12),2,4,7,9-pentaen-7-yl]-3-(4-methoxyphenyl)urea","1-[4-(furan-2-yl)-11-propyl-3,5,6,8,10,11-hexazatricyclo[7.3.0.02,6]dodeca-1(12),2,4,7,9-pentaen-7-yl]-3-(4-methoxyphenyl)urea","MRE 3008-F20","MRE 3008-F20; MRE 3008F20; 3-(4-(furan-2-yl)-11-propyl-3,5,6,8,10,11-hexaazatricyclo(7.3.0.0^(2,6))dodeca-1(12),2,4,7,9-pentaen-7-yl)-1-(4-methoxyphenyl)urea; 3-[4-(furan-2-yl)-11-propyl-3,5,6,8,10,11-hexaazatricyclo[7.3.0.0^{2,6}]dodeca-1(12),2,4,7,9-pentaen-7-yl]-1-(4-methoxyphenyl)urea; MRE-3008-F20; RefChem:926175; 252979-43-4; MCP-NECA; MRE3008F20; MRE-3008F20","CCCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)OC","Non_anthelmintic"
"Inactive","RDKit_inactive_74",65997,"1-benzyl-2-piperazin-1-ylbenzimidazole","1-benzyl-2-piperazin-1-ylbenzimidazole","Lerisetron","Lerisetron; 143257-98-1; Q36R82SXRG; 1-Benzyl-2-(1-piperazinyl)benzimidazole; DTXSID90162368; lerisetronum; RefChem:152881; DTXCID5084859; F-0930-RS2; 1-Phenyl-Methyl-2-Piperazinyl-1H-Benzimidazole Hydrochloride","C1CN(CCN1)C2=NC3=CC=CC=C3N2CC4=CC=CC=C4","Non_anthelmintic"
"Inactive","RDKit_inactive_70",129319,"1-ethyl-3-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]urea","1-ethyl-3-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]urea","N-Ethyl-N'-(3-(3-(piperidinomethyl)phenoxy)propyl)urea","N-Ethyl-N'-(3-(3-(piperidinomethyl)phenoxy)propyl)urea; RefChem:927151; Dalcotidine; 120958-90-9; KU-1257; Dalcotidine [INN]; KU 1257; 1-ethyl-3-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]urea; 9968S2UKFJ; DTXSID4048806","CCNC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2","Non_anthelmintic"
"Inactive","RDKit_inactive_99",10362969,"2,10-bis(3-methylbut-2-enyl)-6H-[1]benzofuro[3,2-c]chromene-3,9-diol","2,10-bis(3-methylbut-2-enyl)-6H-[1]benzofuro[3,2-c]chromene-3,9-diol","Erycristagallin","Erycristagallin; 3,9-Dihydroxy-2,10-diprenylpterocarpene; 2,10-bis(3-methylbut-2-enyl)-6H-(1)benzofuro(3,2-c)chromene-3,9-diol; 2,10-bis(3-methylbut-2-enyl)-6H-[1]benzofuro[3,2-c]chromene-3,9-diol; RefChem:921138; 3,9-dihydroxy-2,10-di(gamma,gamma-dimethylallyl)-6a,11a-dehydropterocarpan; Erycrystagallin; CHEMBL462699; 3,9-dihydroxy-2,10-diprenylpterocap-6a-ene; SCHEMBL571693","CC(=CCC1=CC2=C(C=C1O)OCC3=C2OC4=C3C=CC(=C4CC=C(C)C)O)C","Non_anthelmintic"
"Inactive","RDKit_inactive_61",5585,"2,5,9-trimethylfuro[3,2-g]chromen-7-one","2,5,9-trimethylfuro[3,2-g]chromen-7-one","trioxsalen","trioxsalen; 3902-71-4; Trioxysalen; Trimethylpsoralen; 4,5',8-Trimethylpsoralen; Trioxisaleno; Trioxysalene; 2',4,8-Trimethylpsoralen; Trioxysalenum; NSC71047","CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C","Non_anthelmintic"
"Inactive","RDKit_inactive_25",5281670,"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one","2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one","morin","morin; 480-16-0; Aurantica; 2',3,4',5,7-Pentahydroxyflavone; Calico Yellow; Al-Morin; Toxylon Pomiferum; Bois d,Arc; Bois d'arc; C.I. Natural Yellow 8","C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O","Non_anthelmintic"
"Inactive","RDKit_inactive_2",4076,"2-(3,4,5-trimethoxyphenyl)ethanamine","2-(3,4,5-trimethoxyphenyl)ethanamine","mescaline","mescaline; Mescalin; 3,4,5-Trimethoxyphenethylamine; Mezcaline; 54-04-6; 2-(3,4,5-Trimethoxyphenyl)ethanamine; 3,4,5-Trimethoxybenzeneethanamine; 3,4,5-Trimethoxyphenylethylamine; Benzeneethanamine, 3,4,5-trimethoxy-; NSC-30419","COC1=CC(=CC(=C1OC)OC)CCN","Non_anthelmintic"
"Inactive","RDKit_inactive_17",1354,"2-(3-chlorophenyl)-1-(diaminomethylidene)guanidine","2-(3-chlorophenyl)-1-(diaminomethylidene)guanidine","1-(3-Chlorophenyl)biguanide","1-(3-Chlorophenyl)biguanide; 48144-44-1; 1-(m-Chlorophenyl)biguanide; N-(3-Chlorophenyl)imidodicarbonimidic diamide; 910A4X901V; DTXSID70197436; RefChem:926774; DTXCID80119927; m-Chlorophenylbiguanide; mCPBG","C1=CC(=CC(=C1)Cl)N=C(N)N=C(N)N","Non_anthelmintic"
"Inactive","RDKit_inactive_109",15731432,"2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","CHEMBL598746","CHEMBL598746; SCHEMBL30674787; PD177776","COC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=C(C=C3)F","Non_anthelmintic"
"Inactive","RDKit_inactive_115",10378415,"2-(4-fluorophenyl)-7-methoxychromen-4-one","2-(4-fluorophenyl)-7-methoxychromen-4-one","CHEMBL344504","CHEMBL344504; 2-(4-fluorophenyl)-7-methoxy-4H-chromen-4-one; SCHEMBL9142214; SCHEMBL30674786; BDBM50310198; PD179928; 2-(4-Fluoro-phenyl)-7-methoxy-chromen-4-one","COC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=C(C=C3)F","Non_anthelmintic"
